Zip Code,Price,Beds,Baths,Living Space,Address,City,State,Zip Code Population,Zip Code Density,County,Median Household Income,Latitude,Longitude,county_num,city_num,state_num,address_num
94114,975000.0,1,2,812,3824 24TH ST # 101,San Francisco,California,34474,9612.9,San Francisco,254595.0,37.75814,-122.43547,81,230,26,34556
94130,3499500.0,3,3,2259,1 BRISTOL CT APT 316,San Francisco,California,3185,1396.2,San Francisco,147150.0,37.81975,-122.36898,81,230,26,34824
94121,1525000.0,2,1,1256,627 46TH AVE,San Francisco,California,43964,6697.2,San Francisco,187450.0,37.77849,-122.49548,81,230,26,34703
94114,3495000.0,3,3,2735,3649 21ST ST,San Francisco,California,34474,9612.9,San Francisco,254595.0,37.75814,-122.43547,81,230,26,34548
94112,899998.0,3,1,1416,149 GOETHE ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34532
94115,11550000.0,5,5,5540,2470 BROADWAY ST,San Francisco,California,34193,11617.6,San Francisco,215550.0,37.78608,-122.43742,81,230,26,34602
94105,1995000.0,2,2,1714,301 MISSION ST APT 40E,San Francisco,California,13810,10568.6,San Francisco,347725.0,37.79239,-122.39707,81,230,26,34261
94112,1095000.0,2,1,1200,25 LISBON ST,San Francisco,California,84477,9779.0,San Francisco,162512.0,37.7206,-122.44311,81,230,26,34506
94122,1089000.0,2,1,1276,1420 LAWTON ST,San Francisco,California,60144,7129.3,San Francisco,179517.0,37.76113,-122.48433,81,230,26,34743
94114,998000.0,2,1,875,84 SATURN ST,San Francisco,California,34474,9612.9,San Francisco,254595.0,37.75814,-122.43547,81,230,26,34567
94109,1095000.0,1,2,1450,1200 CALIFORNIA ST UNIT 7A,San Francisco,California,56114,20085.5,San Francisco,167261.0,37.79334,-122.42138,81,230,26,34377
94117,1575000.0,3,2,1500,618 FILLMORE ST APT 3,San Francisco,California,40701,12329.7,San Francisco,242062.0,37.77002,-122.44425,81,230,26,34659
